ProductID,ProductName,MerchantID,ClusterID,ClusterLabel,CategoryID,Category,Price,StockQuantity,Description,Rating
43860,bosch serie 4 kil22vf30g integrated fridge,7,46162,Bosch KIL22VF30G Integrated,2623,Fridges,999.99,473,"The Bosch Serie 4 Kil22VF30G Integrated Fridge features advanced temperature control and humidity management to provide optimal storage conditions for food, with a sleek and compact design that integrates seamlessly into any kitchen.",4.2
10748,sony kd75xf8596bu 75 4k hdr ultra hd smart android led tv amazon alexa,128,4465,Sony KD-75XF8596,2614,TVs,99.99,335,This Sony KD75XF8596BU 75“ 4K HDR Ultra HD Smart Android LED TV features integrated Amazon Alexa for seamless voice control and entertainment experiences.,4.0
429,sony xperia xa2 ultra black 6 32gb 4g unlocked sim free,6,25,Sony Xperia XA2 Ultra 32GB,2612,Mobile Phones,599.99,490,"The Sony Xperia XA2 Ultra Black features a 6-inch Full HD display, 32GB of internal storage, and supports 4G connectivity for seamless mobile experience.",4.7
23568,pentax k 1 body hd 24 70mm f/2 8 ed sdm wr,264,39409,Pentax K-1 + 24-70mm,2617,Digital Cameras,999.99,144,The Pentax K-1 Body is a weather-sealed digital single-lens reflex camera featuring an 24-70mm f/2.8 ED SDM WR zoom lens.,3.0
12520,samsung ue75mu7000txxu 75 inch 7 series led smart tv black/silver,3,4872,Samsung UE75MU7000,2614,TVs,599.99,35,"This Samsung UE75MU7000TXXU is a 75-inch 7-Series LED Smart TV featuring a sleek black and silver design, equipped with advanced technologies for immersive viewing experiences.",2.6
42732,smeg pgf64 4 62cm classic 4 burner ultra low profile gas hob,179,45425,Hotpoint MTZ622NF Silver,2622,Fridge Freezers,199.0,128,"This Smeg PGF64 4 62cm classic 4 burner ultra low profile gas hob features a sleek design and efficient cooking capabilities, making it an ideal choice for home cooks who value style and performance.",2.1
26798,bosch sps46iw00g 45cm serie 4 dishwasher in white 9 place settings,128,40509,Bosch SPS46IW00G White,2619,Dishwashers,499.99,261,"The Bosch SPS46IW00G is a high-efficiency, 9-place setting dishwasher with advanced features for quiet operation and energy efficiency.",4.8
10760,samsung ue49nu7500 49 curved ultra hd certified hdr smart 4k tv,32,4467,Samsung UE49NU7500,2614,TVs,599.99,215,"This Samsung 49"" Curved Ultra HD Certified HDR Smart 4K TV features cutting-edge display technology for an immersive viewing experience.",3.2
21963,panasonic lumix fz330 bridge camera black,7,38931,Panasonic Lumix DMC-FZ330,2617,Digital Cameras,499.99,223,"The Panasonic Lumix FZ330 is a compact bridge camera featuring a 20.1MP sensor, 25x optical zoom, and 4K video recording capabilities.",2.8
1761,lg k8 2017 smartphone 5 inch display 5mp front camera android 7.0 b,18,267,LG K8 M200N,2612,Mobile Phones,500.0,165,"A compact Android smartphone with a 5-inch display, featuring a 5MP front camera and running on Android 7.0 operating system.",2.6
11339,panasonic tx65fz952b/tx65fz952b,98,4536,Panasonic TX-65FZ952B,2614,TVs,599.99,381,"This is a high-definition LED TV with 4K resolution and smart features, ideal for streaming movies and gaming.",4.6
44245,cda fw223 integrated built under larder fridge,301,46217,CDA FW223 Integrated,2623,Fridges,999.99,375,This cda fw223 integrated built under larder fridge features a compact design and advanced temperature control for efficient food storage.,3.3
26919,neff s41e50s1gb semi integrated dishwasher which best buy,130,40528,Neff S41E50S1GB Black,2619,Dishwashers,599.99,191,"This Neff S41E50S1GB Semi-Integrated Dishwasher is a high-performance appliance featuring advanced wash cycles and quiet operation, ideal for busy households.",3.8
30108,caple di465,341,41839,Caple DI465 Integrated,2619,Dishwashers,0.0,232,"The Caple Di465 is a high-efficiency, single- stage refrigerator that utilizes advanced insulation and cooling technology to provide optimal energy efficiency.",4.0
40423,beko csg1675w 175x60cm 273l freestanding fridge freezer white,15,44532,Beko CSG1571W White,2622,Fridge Freezers,599.99,169,This Beko CSG1675W 175x60cm 273L freestanding fridge freezer features a spacious interior with ample storage for groceries and frozen foods.,4.9
16866,amd a series a6 6420k black edition amd a6 4 ghz socket fm2 pc 3,18,6883,AMD A6-Series 6420K 4GHz Box,2615,CPUs,999.99,118,"A compact AMD A-series A6-6420K Black Edition processor with 4 GHz frequency, supporting Socket FM2 for PC compatibility.",3.1
