product_id,product_name,category,category_id,order_id,customer_id,order_status,return_eligible,shipping_date
43860,bosch serie 4 kil22vf30g integrated fridge,Fridges,2623,1927,1210,Shipped,FALSE,2024-10-25 12:24:38
10748,sony kd75xf8596bu 75 4k hdr ultra hd smart android led tv amazon alexa,TVs,2614,3469,898,Delivered,FALSE,2024-09-29 12:24:38
429,sony xperia xa2 ultra black 6 32gb 4g unlocked sim free,Mobile Phones,2612,3180,260,Cancelled,FALSE,2024-10-14 12:24:38
23568,pentax k 1 body hd 24 70mm f/2 8 ed sdm wr,Digital Cameras,2617,1502,11,Shipped,FALSE,2024-10-18 12:24:38
12520,samsung ue75mu7000txxu 75 inch 7 series led smart tv black/silver,TVs,2614,2213,338,Cancelled,FALSE,2024-10-27 12:24:38
42732,smeg pgf64 4 62cm classic 4 burner ultra low profile gas hob,Fridge Freezers,2622,2942,537,Pending,FALSE,2024-10-23 12:24:38
26798,bosch sps46iw00g 45cm serie 4 dishwasher in white 9 place settings,Dishwashers,2619,2382,756,Cancelled,FALSE,2024-10-28 12:24:38
10760,samsung ue49nu7500 49 curved ultra hd certified hdr smart 4k tv,TVs,2614,1683,742,Cancelled,FALSE,2024-10-10 12:24:38
21963,panasonic lumix fz330 bridge camera black,Digital Cameras,2617,2554,2110,Delivered,TRUE,2024-10-19 12:24:38
1761,lg k8 2017 smartphone 5 inch display 5mp front camera android 7.0 b,Mobile Phones,2612,1098,2335,Shipped,FALSE,2024-10-09 12:24:38
11339,panasonic tx65fz952b/tx65fz952b,TVs,2614,2985,844,Shipped,FALSE,2024-10-08 12:24:38
44245,cda fw223 integrated built under larder fridge,Fridges,2623,1690,249,Shipped,FALSE,2024-10-10 12:24:38
26919,neff s41e50s1gb semi integrated dishwasher which best buy,Dishwashers,2619,1067,1824,Delivered,FALSE,2024-10-04 12:24:38
30108,caple di465,Dishwashers,2619,2533,1026,Delivered,FALSE,2024-10-22 12:24:38
40423,beko csg1675w 175x60cm 273l freestanding fridge freezer white,Fridge Freezers,2622,1410,2375,Cancelled,FALSE,2024-10-05 12:24:38
16866,amd a series a6 6420k black edition amd a6 4 ghz socket fm2 pc 3,CPUs,2615,2235,1145,Shipped,FALSE,2024-10-15 12:24:38
27601,cda wc600 fully integrated dishwasher 15 place settings aaa rated,Dishwashers,2619,2361,1944,Cancelled,FALSE,2024-10-13 12:24:38
14319,amd fx 8320 3.5ghz socket am3 16mb cache processor,CPUs,2615,2462,547,Cancelled,FALSE,2024-10-02 12:24:38
35449,siemens iq500 gs36nai31 tall freezer stainless steel,Freezers,2621,1874,817,Cancelled,FALSE,2024-10-29 12:24:38
23636,nikon coolpix s32 digital camera white,Digital Cameras,2617,1269,1734,Shipped,FALSE,2024-10-21 12:24:38
16381,intel core i7 8700 processor 3.20 ghz 12 mb smart cache,CPUs,2615,1515,2302,Shipped,FALSE,2024-10-22 12:24:38
34091,candy gvs169dc3 freestanding a rated washing machine white,Washing Machines,2620,1486,1416,Shipped,FALSE,2024-10-01 12:24:38
10123,samsung 49 8 series black ultra hd 4k dynamic crystal colour hdr 1000 smart tv ue49nu8000txxu,TVs,2614,1072,338,Cancelled,FALSE,2024-10-08 12:24:38
